	P_fluo_1098	P_fluo_1550	P_fluo_4488	P_fluo_513	P_protegens_3295	P_protegens_PBL3	P_putida_4512
GC_00000223	1	1	1	1	1	1	2
GC_00000224	1	1	1	2	1	1	1
GC_00000225	1	2	1	1	1	1	1
GC_00000226	1	1	1	1	1	1	2
GC_00000227	1	1	1	1	1	1	2
GC_00000228	1	1	1	1	1	1	2
GC_00000229	1	1	1	1	1	1	2
GC_00000230	1	2	1	1	1	1	1
GC_00000231	1	1	1	1	1	1	2
GC_00000232	1	0	0	0	2	2	3
GC_00000233	1	1	1	2	1	1	1
GC_00000234	1	1	1	1	1	1	2
GC_00000235	1	1	1	2	1	1	1
GC_00000236	1	1	1	2	1	1	1
GC_00000237	1	0	1	0	2	2	2
GC_00000238	1	1	1	2	1	1	1
GC_00000239	1	1	1	1	1	1	2
GC_00000240	2	1	1	1	1	1	1
GC_00000241	1	1	1	1	1	1	2
GC_00000242	1	0	1	1	2	2	1
GC_00000243	1	1	1	2	1	1	1
GC_00000244	1	1	1	1	1	1	2
GC_00000245	1	2	1	1	1	1	1
GC_00000246	1	2	1	1	1	1	1
GC_00000247	1	1	1	1	1	1	2
GC_00000248	1	1	1	2	1	1	1
GC_00000249	1	1	1	1	1	1	2
GC_00000250	1	1	1	1	1	1	2
GC_00000251	1	1	1	2	1	1	1
GC_00000252	1	1	1	2	1	1	1
GC_00000253	2	1	1	1	1	1	1
GC_00000254	1	2	1	1	1	1	1
GC_00000255	2	1	1	1	1	1	1
GC_00000256	1	1	1	1	2	1	1
GC_00000257	1	1	1	1	1	1	2
GC_00000258	1	1	1	1	1	1	2
GC_00000259	1	1	1	2	1	1	1
GC_00000260	1	1	1	1	1	1	2
GC_00000261	1	1	1	2	1	1	1
GC_00000262	1	1	1	1	1	1	2
GC_00000263	1	1	1	2	1	1	1
GC_00000264	1	1	1	2	1	1	1
GC_00000265	1	2	1	1	1	1	1
GC_00000266	1	1	1	1	1	1	2
GC_00000267	1	1	1	1	2	1	1
GC_00000268	1	1	1	1	1	1	2
GC_00000269	1	1	1	1	1	1	2
GC_00000270	1	1	1	1	2	1	1
GC_00000271	1	1	1	1	1	1	2
GC_00000272	2	1	1	1	1	1	1
GC_00000273	1	1	1	2	1	1	1
GC_00000274	1	2	1	1	1	1	1
GC_00000275	1	0	2	1	2	2	0
GC_00000276	1	1	1	1	1	1	2
GC_00000277	1	1	1	1	1	1	2
GC_00000278	1	2	1	1	1	1	1
GC_00000279	2	1	1	1	1	1	1
GC_00000280	2	2	2	0	0	0	2
GC_00000281	1	1	1	1	1	1	2
GC_00000282	1	1	1	1	1	1	2
GC_00000283	2	1	1	1	1	1	1
GC_00000284	1	1	2	1	1	1	1
GC_00000285	1	1	1	2	1	1	1
GC_00000286	2	1	1	0	2	2	0
GC_00000287	1	1	1	2	1	1	1
GC_00000288	1	1	1	1	1	1	2
GC_00000289	1	1	1	1	1	1	2
GC_00000290	1	1	1	2	1	1	1
GC_00000291	1	1	1	1	1	1	2
GC_00000292	0	0	1	0	2	2	3
GC_00000293	0	3	0	1	2	2	0
GC_00000294	1	2	1	1	1	1	1
GC_00000295	1	2	1	1	1	1	1
GC_00000296	1	1	1	1	1	1	2
GC_00000297	1	2	1	1	1	1	1
GC_00000298	1	2	1	1	1	1	1
GC_00000299	1	0	1	1	1	1	3
GC_00000300	2	1	1	1	1	1	1
GC_00000301	1	1	1	1	1	1	2
GC_00000302	1	1	1	2	1	1	1
GC_00000303	2	1	1	1	1	1	1
GC_00000304	1	1	1	1	1	1	2
GC_00000305	1	1	1	1	1	1	2
GC_00000306	1	1	2	1	1	1	1
GC_00000307	1	0	7	0	0	0	0
GC_00000308	1	1	1	1	1	1	2
GC_00000309	1	1	1	1	1	2	1
GC_00000310	1	1	1	2	1	1	1
GC_00000311	1	2	1	1	1	1	1
GC_00000312	1	2	1	1	1	1	1
GC_00000313	1	2	1	1	1	1	1
GC_00000314	2	1	1	1	1	1	1
GC_00000315	1	1	1	1	1	1	2
GC_00000316	1	1	1	1	2	1	1
GC_00000317	1	1	1	0	2	2	1
GC_00000318	1	1	1	1	1	1	2
GC_00000319	1	1	1	2	1	1	1
GC_00000320	1	2	1	1	1	1	1
GC_00000321	1	0	1	1	2	2	1
GC_00000322	1	1	2	1	1	1	1
GC_00000323	1	1	1	2	1	1	1
GC_00000324	1	1	1	1	1	1	2
GC_00000325	1	1	1	2	1	1	1
GC_00000326	1	2	1	1	1	1	1
GC_00000327	1	2	1	1	1	1	1
GC_00000328	1	1	1	1	1	1	1
GC_00000329	1	1	1	1	1	1	1
GC_00000330	1	1	1	1	1	1	1
GC_00000331	1	1	1	1	1	1	1
GC_00000332	1	1	1	1	1	1	1
GC_00000333	1	1	1	1	1	1	1
GC_00000334	1	1	1	1	1	1	1
GC_00000335	1	1	1	1	1	1	1
GC_00000336	1	1	1	1	1	1	1
GC_00000337	1	1	1	1	1	1	1
GC_00000338	1	1	1	1	1	1	1
GC_00000339	1	1	1	1	1	1	1
GC_00000340	1	1	1	1	1	1	1
GC_00000341	1	1	1	1	1	1	1
GC_00000342	1	1	1	1	1	1	1
GC_00000343	1	1	1	1	1	1	1
GC_00000344	1	1	1	1	1	1	1
GC_00000345	1	1	1	1	1	1	1
GC_00000346	1	1	1	1	1	1	1
GC_00000347	1	1	1	1	1	1	1
GC_00000348	1	1	1	1	1	1	1
GC_00000349	1	1	1	1	1	1	1
GC_00000350	1	1	1	1	1	1	1
GC_00000351	1	1	1	1	1	1	1
GC_00000352	1	1	1	1	1	1	1
GC_00000353	1	1	1	1	1	1	1
GC_00000354	1	1	1	1	1	1	1
GC_00000355	1	1	1	1	1	1	1
GC_00000356	1	1	1	1	1	1	1
GC_00000357	1	1	1	1	1	1	1
GC_00000358	1	1	1	1	1	1	1
GC_00000359	1	1	1	1	1	1	1
GC_00000360	1	1	1	1	1	1	1
GC_00000361	1	1	1	1	1	1	1
GC_00000362	1	1	1	1	1	1	1
GC_00000363	1	1	1	1	1	1	1
GC_00000364	1	1	1	1	1	1	1
GC_00000365	1	1	1	1	1	1	1
GC_00000366	1	1	1	1	1	1	1
GC_00000367	1	1	1	1	1	1	1
GC_00000368	1	1	1	1	1	1	1
GC_00000369	1	1	1	1	1	1	1
GC_00000370	1	1	1	1	1	1	1
GC_00000371	1	1	1	1	1	1	1
GC_00000372	1	1	1	1	1	1	1
GC_00000373	1	1	1	1	1	1	1
GC_00000374	1	1	1	1	1	1	1
GC_00000375	1	1	1	1	1	1	1
GC_00000376	1	1	1	1	1	1	1
GC_00000377	1	1	1	1	1	1	1
GC_00000378	1	1	1	1	1	1	1
GC_00000379	1	1	1	1	1	1	1
GC_00000380	1	1	1	1	1	1	1
GC_00000381	1	1	1	1	1	1	1
GC_00000382	1	1	1	1	1	1	1
GC_00000383	1	1	1	1	1	1	1
GC_00000384	1	1	1	1	1	1	1
GC_00000385	1	1	1	1	1	1	1
GC_00000386	1	1	1	1	1	1	1
GC_00000387	1	1	1	1	1	1	1
GC_00000388	1	1	1	1	1	1	1
GC_00000389	1	1	1	1	1	1	1
GC_00000390	1	1	1	1	1	1	1
GC_00000391	1	1	1	1	1	1	1
GC_00000392	1	1	1	1	1	1	1
GC_00000393	1	1	1	1	1	1	1
GC_00000394	1	1	1	1	1	1	1
GC_00000395	1	1	1	1	1	1	1
GC_00000396	1	1	1	1	1	1	1
GC_00000397	1	1	1	1	1	1	1
GC_00000398	1	1	1	1	1	1	1
GC_00000399	1	1	1	1	1	1	1
GC_00000400	1	1	1	0	1	1	2
GC_00000401	1	1	1	1	1	1	1
GC_00000402	1	1	1	1	1	1	1
GC_00000403	1	1	1	1	1	1	1
GC_00000404	1	1	1	1	1	1	1
GC_00000405	1	0	1	1	2	2	0
GC_00000406	1	1	1	1	1	1	1
GC_00000407	1	1	1	1	1	1	1
GC_00000408	1	1	1	1	1	1	1
GC_00000409	1	1	1	1	1	1	1
GC_00000410	1	1	1	1	1	1	1
GC_00000411	1	1	1	1	1	1	1
GC_00000412	1	1	1	1	1	1	1
GC_00000413	1	1	1	1	1	1	1
GC_00000414	1	1	1	1	1	1	1
GC_00000415	1	1	1	1	1	1	1
GC_00000416	1	1	1	1	1	1	1
GC_00000417	1	1	1	1	1	1	1
GC_00000418	1	1	1	1	1	1	1
GC_00000419	1	1	1	1	1	1	1
GC_00000420	1	1	1	1	1	1	1
GC_00000421	1	1	1	1	1	1	1
GC_00000422	1	1	1	1	1	1	1
GC_00000423	1	1	1	1	1	1	1
GC_00000424	1	1	1	1	1	1	1
GC_00000425	1	1	1	1	1	1	1
GC_00000426	1	1	1	1	1	1	1
GC_00000427	1	1	1	1	1	1	1
GC_00000428	1	1	1	1	1	1	1
GC_00000429	1	1	1	1	1	1	1
GC_00000430	1	1	1	1	1	1	1
GC_00000431	1	1	1	1	1	1	1
GC_00000432	1	1	1	1	1	1	1
GC_00000433	1	1	1	1	1	1	1
GC_00000434	1	1	1	1	1	1	1
GC_00000435	1	1	1	1	1	1	1
GC_00000436	1	1	1	1	1	1	1
GC_00000437	1	1	1	1	1	1	1
GC_00000438	1	1	1	1	1	1	1
GC_00000439	1	1	1	1	1	1	1
GC_00000440	1	1	1	1	1	1	1
GC_00000441	1	1	1	1	1	1	1
GC_00000442	1	1	1	1	1	1	1
GC_00000443	1	1	1	1	1	1	1
GC_00000444	1	1	1	1	1	1	1
GC_00000445	1	1	1	1	1	1	1
GC_00000446	1	1	1	1	1	1	1
GC_00000447	1	1	1	1	1	1	1
GC_00000448	1	1	1	1	1	1	1
GC_00000449	1	1	1	1	1	1	1
GC_00000450	1	1	1	1	1	1	1
GC_00000451	1	1	1	1	1	1	1
GC_00000452	1	1	1	1	1	1	1
GC_00000453	1	1	1	1	1	1	1
GC_00000454	1	1	1	1	1	1	1
GC_00000455	1	1	1	1	1	1	1
GC_00000456	1	1	1	1	1	1	1
GC_00000457	1	1	1	1	1	1	1
GC_00000458	1	1	1	1	1	1	1
GC_00000459	1	1	1	1	1	1	1
GC_00000460	1	1	1	1	1	1	1
GC_00000461	1	1	1	1	1	1	1
GC_00000462	1	1	1	1	1	1	1
GC_00000463	1	1	1	1	1	1	1
GC_00000464	1	1	1	1	1	1	1
GC_00000465	1	1	1	1	1	1	1
GC_00000466	1	1	1	1	1	1	1
GC_00000467	1	1	1	1	1	1	1
GC_00000468	1	1	1	1	1	1	1
GC_00000469	1	1	1	1	1	1	1
GC_00000470	1	1	1	1	1	1	1
GC_00000471	1	1	1	1	1	1	1
GC_00000472	1	1	1	1	1	1	1
GC_00000473	1	1	1	1	1	1	1
GC_00000474	1	1	1	1	1	1	1
GC_00000475	1	1	1	1	1	1	1
GC_00000476	1	1	1	1	1	1	1
GC_00000477	1	1	1	1	1	1	1
GC_00000478	1	1	1	1	1	1	1
GC_00000479	1	1	1	1	1	1	1
GC_00000480	1	1	1	1	1	1	1
GC_00000481	1	1	1	1	1	1	1
GC_00000482	1	1	1	1	1	1	1
GC_00000483	1	1	1	1	1	1	1
GC_00000484	1	1	1	1	1	1	1
GC_00000485	1	1	1	1	1	1	1
GC_00000486	1	1	1	1	1	1	1
GC_00000487	1	1	1	1	1	1	1
GC_00000488	1	1	1	1	1	1	1
GC_00000489	1	1	1	1	1	1	1
GC_00000490	1	1	1	1	1	1	1
GC_00000491	1	1	1	1	1	1	1
GC_00000492	1	1	1	1	1	1	1
GC_00000493	1	1	1	1	1	1	1
GC_00000494	1	1	1	1	1	1	1
GC_00000495	1	1	1	1	1	1	1
GC_00000496	1	1	1	1	1	1	1
GC_00000497	1	1	1	1	1	1	1
GC_00000498	1	1	1	1	1	1	1
GC_00000499	1	1	1	1	1	1	1
GC_00000500	1	1	1	1	1	1	1
GC_00000501	1	1	1	1	1	1	1
GC_00000502	1	1	1	1	1	1	1
GC_00000503	1	1	1	1	1	1	1
GC_00000504	1	1	1	1	1	1	1
GC_00000505	1	1	1	1	1	1	1
GC_00000506	1	1	1	1	1	1	1
GC_00000507	1	1	1	1	1	1	1
GC_00000508	1	1	1	1	1	1	1
GC_00000509	1	1	1	1	1	1	1
GC_00000510	1	1	1	1	1	1	1
GC_00000511	1	1	1	1	1	1	1
GC_00000512	1	1	1	1	1	1	1
GC_00000513	1	1	1	1	1	1	1
GC_00000514	1	1	1	1	1	1	1
GC_00000515	1	1	1	1	1	1	1
GC_00000516	1	1	1	1	1	1	1
GC_00000517	1	1	1	1	1	1	1
GC_00000518	1	1	1	1	1	1	1
GC_00000519	1	1	1	1	1	1	1
GC_00000520	1	1	1	1	1	1	1
GC_00000521	1	1	1	1	1	1	1
GC_00000522	1	1	1	1	1	1	1
GC_00000523	1	1	1	1	1	1	1
GC_00000524	1	1	1	1	1	1	1
GC_00000525	1	1	1	1	1	1	1
GC_00000526	1	1	1	1	1	1	1
GC_00000527	1	1	1	1	1	1	1
GC_00000528	1	1	1	1	1	1	1
GC_00000529	1	1	1	1	1	1	1
GC_00000530	1	1	1	1	1	1	1
GC_00000531	1	1	1	1	1	1	1
GC_00000532	1	1	1	1	1	1	1
GC_00000533	1	1	1	1	1	1	1
GC_00000534	1	1	1	1	1	1	1
GC_00000535	1	1	1	1	1	1	1
GC_00000536	1	1	1	1	1	1	1
GC_00000537	1	1	1	1	1	1	1
GC_00000538	1	1	1	1	1	1	1
GC_00000539	1	1	1	1	1	1	1
GC_00000540	1	1	1	1	1	1	1
GC_00000541	1	1	1	1	1	1	1
GC_00000542	1	1	1	1	1	1	1
GC_00000543	1	1	1	1	1	1	1
GC_00000544	1	1	1	1	1	1	1
GC_00000545	1	1	1	1	1	1	1
GC_00000546	1	1	1	1	1	1	1
GC_00000547	1	1	1	1	1	1	1
GC_00000548	1	1	1	1	1	1	1
GC_00000549	1	1	1	1	1	1	1
GC_00000550	1	1	1	1	1	1	1
GC_00000551	1	1	1	1	1	1	1
GC_00000552	1	1	1	1	1	1	1
GC_00000553	1	1	1	1	1	1	1
GC_00000554	1	1	1	1	1	1	1
GC_00000555	1	1	1	1	1	1	1
GC_00000556	1	1	1	1	1	1	1
GC_00000557	1	1	1	1	1	1	1
GC_00000558	1	1	1	1	1	1	1
GC_00000559	1	1	1	1	1	1	1
GC_00000560	1	1	1	1	1	1	1
GC_00000561	1	1	1	1	1	1	1
GC_00000562	1	1	1	1	1	1	1
GC_00000563	1	1	1	1	1	1	1
GC_00000564	1	1	1	1	1	1	1
GC_00000565	1	1	1	1	1	1	1
GC_00000566	1	1	1	1	1	1	1
GC_00000567	1	1	1	1	1	1	1
GC_00000568	1	1	1	1	1	1	1
GC_00000569	1	1	1	1	1	1	1
GC_00000570	1	1	1	1	1	1	1
GC_00000571	1	1	1	1	1	1	1
GC_00000572	1	1	1	1	1	1	1
GC_00000573	1	1	1	1	1	1	1
GC_00000574	1	1	1	1	1	1	1
GC_00000575	1	1	1	1	1	1	1
GC_00000576	1	1	1	1	1	1	1
GC_00000577	1	1	1	1	1	1	1
GC_00000578	1	1	1	1	1	1	1
GC_00000579	1	1	1	1	1	1	1
GC_00000580	1	1	1	1	1	1	1
GC_00000581	1	1	1	1	1	1	1
GC_00000582	1	1	1	1	1	1	1
GC_00000583	1	1	1	1	1	1	1
GC_00000584	1	1	1	1	1	1	1
GC_00000585	1	1	1	1	1	1	1
GC_00000586	1	1	1	1	1	1	1
GC_00000587	1	1	1	1	1	1	1
GC_00000588	1	1	1	1	1	1	1
GC_00000589	1	1	1	1	1	1	1
GC_00000590	1	1	1	1	1	1	1
GC_00000591	1	1	1	1	1	1	1
GC_00000592	1	1	1	1	1	1	1
GC_00000593	1	1	1	1	1	1	1
GC_00000594	1	1	1	1	1	1	1
GC_00000595	1	1	1	1	1	1	1
GC_00000596	1	1	1	1	1	1	1
GC_00000597	1	1	1	1	1	1	1
GC_00000598	1	1	1	1	1	1	1
GC_00000599	1	1	1	1	1	1	1
GC_00000600	1	1	1	1	1	1	1
GC_00000601	1	1	1	1	1	1	1
GC_00000602	1	1	1	1	1	1	1
GC_00000603	1	1	1	1	1	1	1
GC_00000604	1	1	1	1	1	1	1
GC_00000605	1	1	1	1	1	1	1
GC_00000606	1	1	1	1	1	1	1
GC_00000607	1	1	1	1	1	1	1
GC_00000608	1	1	1	1	1	1	1
GC_00000609	1	1	1	1	1	1	1
GC_00000610	1	1	1	1	1	1	1
GC_00000611	1	1	1	1	1	1	1
GC_00000612	1	1	1	1	1	1	1
GC_00000613	1	1	1	1	1	1	1
GC_00000614	1	1	1	1	1	1	1
GC_00000615	1	1	1	1	1	1	1
GC_00000616	1	1	1	1	1	1	1
GC_00000617	1	1	1	1	1	1	1
GC_00000618	1	1	1	1	1	1	1
GC_00000619	1	1	1	1	1	1	1
GC_00000620	1	1	1	1	1	1	1
GC_00000621	1	1	1	1	1	1	1
GC_00000622	1	1	1	1	1	1	1
GC_00000623	1	1	1	1	1	1	1
GC_00000624	1	1	1	1	1	1	1
GC_00000625	1	1	1	1	1	1	1
GC_00000626	1	1	1	1	1	1	1
GC_00000627	1	1	1	1	1	1	1
GC_00000628	1	1	1	1	1	1	1
GC_00000629	1	1	1	1	1	1	1
GC_00000630	1	1	1	1	1	1	1
GC_00000631	1	1	1	1	1	1	1
GC_00000632	1	1	1	1	1	1	1
GC_00000633	1	1	1	1	1	1	1
GC_00000634	1	1	1	1	1	1	1
GC_00000635	1	1	1	1	1	1	1
GC_00000636	1	1	1	1	1	1	1
GC_00000637	1	1	0	2	1	1	1
GC_00000638	1	1	1	1	1	1	1
GC_00000639	1	1	1	1	1	1	1
GC_00000640	1	1	1	1	1	1	1
GC_00000641	1	1	1	1	1	1	1
GC_00000642	1	1	1	1	1	1	1
GC_00000643	1	1	1	1	1	1	1
GC_00000644	1	1	1	1	1	1	1
GC_00000645	1	1	1	1	1	1	1
GC_00000646	1	1	1	1	1	1	1
GC_00000647	1	1	1	1	1	1	1
GC_00000648	1	1	1	1	1	1	1
GC_00000649	1	1	1	1	1	1	1
GC_00000650	1	1	1	1	1	1	1
GC_00000651	1	1	1	1	1	1	1
GC_00000652	1	1	1	1	1	1	1
GC_00000653	1	1	1	1	1	1	1
GC_00000654	1	1	1	1	1	1	1
GC_00000655	1	1	1	1	1	1	1
GC_00000656	1	1	1	1	1	1	1
GC_00000657	1	1	1	1	1	1	1
