	P_fluo_1098	P_fluo_1550	P_fluo_4488	P_fluo_513	P_protegens_3295	P_protegens_PBL3	P_putida_4512
GC_00006384	0	0	0	0	1	1	0
GC_00006385	0	0	0	0	1	1	0
GC_00006386	1	0	1	0	0	0	0
GC_00006387	0	0	0	0	1	0	1
GC_00006388	0	0	0	1	0	0	1
GC_00006389	0	0	0	0	1	1	0
GC_00006390	1	0	0	0	0	0	1
GC_00006391	1	0	0	0	0	0	1
GC_00006392	0	0	0	0	1	1	0
GC_00006393	0	1	0	1	0	0	0
GC_00006394	0	0	0	1	0	0	1
GC_00006395	0	0	0	0	1	1	0
GC_00006396	0	0	0	0	1	1	0
GC_00006397	1	0	1	0	0	0	0
GC_00006398	1	0	0	0	0	0	1
GC_00006399	0	0	0	0	1	1	0
GC_00006400	1	0	0	0	0	0	1
GC_00006401	0	0	0	0	1	1	0
GC_00006402	0	1	1	0	0	0	0
GC_00006403	0	0	0	0	1	1	0
GC_00006404	0	1	1	0	0	0	0
GC_00006405	0	0	0	0	1	1	0
GC_00006406	0	0	0	0	1	1	0
GC_00006407	0	0	0	0	1	1	0
GC_00006408	1	0	0	0	0	0	1
GC_00006409	0	1	0	1	0	0	0
GC_00006410	0	0	0	0	1	1	0
GC_00006411	0	0	1	0	0	0	1
GC_00006412	1	0	1	0	0	0	0
GC_00006413	0	0	0	0	1	1	0
GC_00006414	0	0	0	0	1	1	0
GC_00006415	0	0	0	0	1	1	0
GC_00006416	0	1	0	1	0	0	0
GC_00006417	1	0	1	0	0	0	0
GC_00006418	0	0	1	1	0	0	0
GC_00006419	0	0	0	0	1	1	0
GC_00006420	0	1	0	1	0	0	0
GC_00006421	1	1	0	0	0	0	0
GC_00006422	0	0	0	0	1	1	0
GC_00006423	1	0	1	0	0	0	0
GC_00006424	0	0	0	2	0	0	0
GC_00006425	0	0	0	0	1	1	0
GC_00006426	0	0	0	0	1	1	0
GC_00006427	1	0	1	0	0	0	0
GC_00006428	0	0	0	0	1	1	0
GC_00006429	0	0	0	0	1	1	0
GC_00006430	1	0	0	1	0	0	0
GC_00006431	0	0	0	0	0	0	2
GC_00006432	0	1	0	1	0	0	0
GC_00006433	1	0	1	0	0	0	0
GC_00006434	1	0	1	0	0	0	0
GC_00006435	0	1	0	1	0	0	0
GC_00006436	0	1	0	0	0	0	1
GC_00006437	0	1	0	1	0	0	0
GC_00006438	0	0	0	2	0	0	0
GC_00006439	0	0	0	0	1	1	0
GC_00006440	0	0	0	0	1	1	0
GC_00006441	0	0	0	0	1	1	0
GC_00006442	0	0	0	0	1	1	0
GC_00006443	0	0	0	0	1	1	0
GC_00006444	1	0	1	0	0	0	0
GC_00006445	1	0	0	0	0	0	1
GC_00006446	0	0	0	0	1	1	0
GC_00006447	0	0	0	0	1	1	0
GC_00006448	0	0	0	0	1	1	0
GC_00006449	0	1	0	1	0	0	0
GC_00006450	1	0	1	0	0	0	0
GC_00006451	0	1	0	1	0	0	0
GC_00006452	0	0	0	0	1	1	0
GC_00006453	1	0	0	0	0	0	1
GC_00006454	1	0	1	0	0	0	0
GC_00006455	0	0	1	0	0	0	1
GC_00006456	0	0	0	0	1	1	0
GC_00006457	1	1	0	0	0	0	0
GC_00006458	0	0	1	0	0	0	1
GC_00006459	1	0	1	0	0	0	0
GC_00006460	0	0	0	0	1	1	0
GC_00006461	0	1	0	0	0	0	1
GC_00006462	0	0	1	0	1	0	0
GC_00006463	0	0	0	0	1	1	0
GC_00006464	0	0	0	0	1	1	0
GC_00006465	0	0	0	0	1	1	0
GC_00006466	0	1	0	1	0	0	0
GC_00006467	0	1	0	1	0	0	0
GC_00006468	0	0	0	0	1	1	0
GC_00006469	0	0	0	0	1	1	0
GC_00006470	1	0	1	0	0	0	0
GC_00006471	0	2	0	0	0	0	0
GC_00006472	0	0	1	1	0	0	0
GC_00006473	0	0	1	0	0	0	1
GC_00006474	1	0	0	0	0	0	1
GC_00006475	1	0	1	0	0	0	0
GC_00006476	1	0	1	0	0	0	0
GC_00006477	1	0	1	0	0	0	0
GC_00006478	0	1	0	1	0	0	0
GC_00006479	0	0	0	0	1	1	0
GC_00006480	0	0	0	0	1	1	0
GC_00006481	0	0	0	1	0	0	1
GC_00006482	0	0	0	0	1	1	0
GC_00006483	0	0	0	1	0	0	1
GC_00006484	0	0	0	0	1	1	0
GC_00006485	0	1	0	1	0	0	0
GC_00006486	0	0	0	0	1	1	0
GC_00006487	0	0	0	0	1	1	0
GC_00006488	0	0	0	0	1	1	0
GC_00006489	1	0	0	1	0	0	0
GC_00006490	1	0	0	0	0	0	1
GC_00006491	0	0	0	0	1	1	0
GC_00006492	0	0	0	0	1	0	1
GC_00006493	0	0	1	0	1	0	0
GC_00006494	0	0	0	0	0	0	2
GC_00006495	0	0	0	0	1	1	0
GC_00006496	0	0	0	0	1	1	0
GC_00006497	0	0	0	0	1	1	0
GC_00006498	0	0	0	0	1	1	0
GC_00006499	0	0	0	0	1	1	0
GC_00006500	0	0	2	0	0	0	0
GC_00006501	0	1	0	1	0	0	0
GC_00006502	0	1	0	0	0	0	1
GC_00006503	1	0	1	0	0	0	0
GC_00006504	0	0	0	0	1	1	0
GC_00006505	0	0	0	0	1	1	0
GC_00006506	1	0	0	0	0	0	1
GC_00006507	0	0	1	0	0	0	1
GC_00006508	0	1	0	1	0	0	0
GC_00006509	0	0	0	0	1	1	0
GC_00006510	0	0	0	0	1	1	0
GC_00006511	1	0	0	0	0	0	1
GC_00006512	0	0	0	0	1	1	0
GC_00006513	0	1	0	1	0	0	0
GC_00006514	0	0	0	0	1	1	0
GC_00006515	0	1	1	0	0	0	0
GC_00006516	0	1	0	1	0	0	0
GC_00006517	0	0	0	0	1	1	0
GC_00006518	0	0	0	0	1	1	0
GC_00006519	1	0	1	0	0	0	0
GC_00006520	0	0	0	1	0	0	1
GC_00006521	1	0	0	0	0	0	1
GC_00006522	0	0	1	0	0	0	1
GC_00006523	0	0	0	0	0	0	2
GC_00006524	0	1	0	0	0	0	1
GC_00006525	0	1	0	1	0	0	0
GC_00006526	0	0	0	0	1	1	0
GC_00006527	0	0	0	0	1	1	0
GC_00006528	0	0	0	0	0	0	2
GC_00006529	0	0	0	0	0	0	2
GC_00006530	0	0	2	0	0	0	0
GC_00006531	0	1	0	0	0	0	1
GC_00006532	0	0	0	0	1	1	0
GC_00006533	1	1	0	0	0	0	0
GC_00006534	0	0	0	0	1	1	0
GC_00006535	0	1	0	0	0	0	1
GC_00006536	1	1	0	0	0	0	0
GC_00006537	0	0	0	0	1	1	0
GC_00006538	0	0	0	1	0	0	1
GC_00006539	0	0	0	0	1	1	0
GC_00006540	0	0	0	0	1	1	0
GC_00006541	1	0	1	0	0	0	0
GC_00006542	0	0	0	0	1	1	0
GC_00006543	1	0	0	0	0	0	1
GC_00006544	0	0	0	1	0	0	1
GC_00006545	0	0	0	0	1	1	0
GC_00006546	0	1	0	1	0	0	0
GC_00006547	1	1	0	0	0	0	0
GC_00006548	0	0	0	0	1	1	0
GC_00006549	0	0	0	0	1	1	0
GC_00006550	0	0	0	0	1	1	0
GC_00006551	0	0	1	1	0	0	0
GC_00006552	0	0	0	0	1	1	0
GC_00006553	0	0	0	0	1	1	0
GC_00006554	0	0	0	0	1	1	0
GC_00006555	0	0	0	0	1	1	0
GC_00006556	0	0	1	0	0	0	1
GC_00006557	0	0	0	0	1	1	0
GC_00006558	0	0	1	0	0	0	1
GC_00006559	0	0	0	2	0	0	0
GC_00006560	1	0	0	0	0	0	1
GC_00006561	0	0	0	0	1	1	0
GC_00006562	1	0	0	0	0	0	1
GC_00006563	1	0	1	0	0	0	0
GC_00006564	0	1	0	1	0	0	0
GC_00006565	1	0	0	0	0	0	1
GC_00006566	0	0	0	0	1	1	0
GC_00006567	0	2	0	0	0	0	0
GC_00006568	1	0	1	0	0	0	0
GC_00006569	0	0	0	0	1	1	0
GC_00006570	0	0	0	0	1	1	0
GC_00006571	0	1	0	0	0	0	1
GC_00006572	0	1	0	0	0	0	1
GC_00006573	0	0	0	0	1	1	0
GC_00006574	0	1	0	1	0	0	0
GC_00006575	0	0	0	0	1	1	0
GC_00006576	0	0	0	0	1	1	0
GC_00006577	0	0	0	0	1	1	0
GC_00006578	0	0	0	0	1	1	0
GC_00006579	0	0	0	2	0	0	0
GC_00006580	0	0	0	0	1	1	0
GC_00006581	0	0	0	0	1	1	0
GC_00006582	0	0	0	0	1	1	0
GC_00006583	0	0	0	0	1	1	0
GC_00006584	1	0	1	0	0	0	0
GC_00006585	0	0	1	0	0	0	1
GC_00006586	0	0	0	0	1	1	0
GC_00006587	0	0	0	0	1	1	0
GC_00006588	1	0	1	0	0	0	0
GC_00006589	0	0	0	0	1	1	0
GC_00006590	1	0	1	0	0	0	0
GC_00006591	0	0	0	0	1	1	0
GC_00006592	1	0	1	0	0	0	0
GC_00006593	0	0	0	0	1	1	0
GC_00006594	1	1	0	0	0	0	0
GC_00006595	0	0	0	0	1	1	0
GC_00006596	0	0	1	1	0	0	0
GC_00006597	0	0	0	0	1	1	0
GC_00006598	1	0	1	0	0	0	0
GC_00006599	0	0	0	0	1	1	0
GC_00006600	0	0	0	0	1	1	0
GC_00006601	0	0	0	0	1	1	0
GC_00006602	0	0	0	0	1	1	0
GC_00006603	0	0	0	0	1	1	0
GC_00006604	1	1	0	0	0	0	0
GC_00006605	0	0	0	0	1	1	0
GC_00006606	0	0	0	0	1	1	0
GC_00006607	2	0	0	0	0	0	0
GC_00006608	0	1	0	0	0	0	1
GC_00006609	0	0	0	0	1	1	0
GC_00006610	1	0	0	0	0	0	1
GC_00006611	0	1	0	1	0	0	0
GC_00006612	0	0	0	0	0	0	2
GC_00006613	0	0	0	0	1	1	0
GC_00006614	0	0	0	0	1	1	0
GC_00006615	0	0	0	0	1	1	0
GC_00006616	1	1	0	0	0	0	0
GC_00006617	0	0	0	0	1	1	0
GC_00006618	0	0	0	1	0	0	1
GC_00006619	0	0	0	0	1	1	0
GC_00006620	0	0	0	0	1	1	0
GC_00006621	0	0	0	0	0	0	2
GC_00006622	0	0	0	2	0	0	0
GC_00006623	1	0	0	0	0	0	1
GC_00006624	0	0	0	1	0	0	1
GC_00006625	1	0	1	0	0	0	0
GC_00006626	1	0	1	0	0	0	0
GC_00006627	0	0	0	0	1	1	0
GC_00006628	1	0	0	0	0	1	0
GC_00006629	0	0	0	0	1	1	0
GC_00006630	0	0	1	1	0	0	0
GC_00006631	0	1	0	0	1	0	0
GC_00006632	0	2	0	0	0	0	0
GC_00006633	0	0	0	0	1	1	0
GC_00006634	0	1	0	1	0	0	0
GC_00006635	0	0	0	0	1	1	0
GC_00006636	0	1	0	0	0	0	1
GC_00006637	0	0	1	0	0	0	1
GC_00006638	0	1	0	0	0	0	1
GC_00006639	1	0	1	0	0	0	0
GC_00006640	0	0	0	0	1	1	0
GC_00006641	0	0	0	0	1	1	0
GC_00006642	0	0	0	0	1	1	0
GC_00006643	0	0	0	2	0	0	0
GC_00006644	1	0	1	0	0	0	0
GC_00006645	0	0	0	0	1	1	0
GC_00006646	0	0	0	0	1	1	0
GC_00006647	1	0	0	0	0	0	1
GC_00006648	0	0	0	0	1	1	0
GC_00006649	0	1	0	1	0	0	0
GC_00006650	0	1	0	1	0	0	0
GC_00006651	0	1	0	0	0	0	1
GC_00006652	1	1	0	0	0	0	0
GC_00006653	1	0	1	0	0	0	0
GC_00006654	0	1	0	1	0	0	0
GC_00006655	1	0	0	0	0	0	1
GC_00006656	0	0	0	0	1	1	0
GC_00006657	0	0	0	0	1	1	0
GC_00006658	0	0	0	0	1	1	0
GC_00006659	1	0	1	0	0	0	0
GC_00006660	0	0	0	0	1	1	0
GC_00006661	1	0	0	0	0	0	1
GC_00006662	0	1	0	0	0	0	1
GC_00006663	0	0	1	0	0	0	1
GC_00006664	0	1	0	1	0	0	0
GC_00006665	0	1	0	0	0	0	1
GC_00006666	1	0	1	0	0	0	0
GC_00006667	0	0	0	0	1	1	0
GC_00006668	0	0	1	0	0	0	1
GC_00006669	0	1	1	0	0	0	0
GC_00006670	0	0	0	0	1	1	0
GC_00006671	0	2	0	0	0	0	0
GC_00006672	1	0	0	0	0	0	1
GC_00006673	0	1	0	1	0	0	0
GC_00006674	1	0	0	0	0	0	1
GC_00006675	0	0	0	0	1	1	0
GC_00006676	0	1	0	1	0	0	0
GC_00006677	0	1	0	0	0	0	1
GC_00006678	0	0	0	0	1	1	0
GC_00006679	0	0	0	2	0	0	0
GC_00006680	0	0	0	1	0	1	0
GC_00006681	0	0	0	0	1	1	0
GC_00006682	0	0	0	0	1	1	0
GC_00006683	0	0	0	0	1	1	0
GC_00006684	1	0	1	0	0	0	0
GC_00006685	1	0	1	0	0	0	0
GC_00006686	0	0	0	0	1	1	0
GC_00006687	0	0	0	0	1	1	0
GC_00006688	0	0	0	0	1	1	0
GC_00006689	0	0	0	0	1	0	1
GC_00006690	0	1	0	0	0	0	1
GC_00006691	0	1	0	0	0	0	1
GC_00006692	0	0	0	0	0	1	1
GC_00006693	0	0	0	0	0	0	2
GC_00006694	0	1	0	0	0	0	1
GC_00006695	0	1	0	1	0	0	0
GC_00006696	1	0	0	0	0	0	1
GC_00006697	0	0	0	0	1	1	0
GC_00006698	0	0	0	0	1	1	0
GC_00006699	0	0	0	1	0	0	1
GC_00006700	1	0	1	0	0	0	0
GC_00006701	0	0	0	0	1	1	0
GC_00006702	1	0	0	0	0	0	1
GC_00006703	0	0	0	0	1	1	0
GC_00006704	0	0	0	0	1	1	0
GC_00006705	0	0	0	0	1	1	0
GC_00006706	0	0	0	0	1	1	0
GC_00006707	0	0	0	0	1	1	0
GC_00006708	1	1	0	0	0	0	0
GC_00006709	0	0	0	0	1	1	0
GC_00006710	0	0	0	0	1	1	0
GC_00006711	0	1	0	1	0	0	0
GC_00006712	0	0	1	0	0	0	1
GC_00006713	0	0	0	0	1	1	0
GC_00006714	0	0	0	0	1	1	0
GC_00006715	0	0	0	0	1	1	0
GC_00006716	0	0	0	0	1	1	0
GC_00006717	0	0	0	0	1	1	0
GC_00006718	0	0	0	0	0	0	2
GC_00006719	0	0	0	0	1	1	0
GC_00006720	0	1	0	1	0	0	0
GC_00006721	1	1	0	0	0	0	0
GC_00006722	0	0	0	1	0	0	1
GC_00006723	0	0	0	0	1	1	0
GC_00006724	1	0	1	0	0	0	0
GC_00006725	0	0	0	0	1	1	0
GC_00006726	0	0	0	0	1	1	0
GC_00006727	0	0	0	0	1	1	0
GC_00006728	0	0	1	1	0	0	0
GC_00006729	0	0	0	0	1	1	0
GC_00006730	0	0	0	0	1	1	0
GC_00006731	0	0	0	0	1	1	0
GC_00006732	0	1	0	0	0	0	1
GC_00006733	1	1	0	0	0	0	0
GC_00006734	0	1	0	1	0	0	0
GC_00006735	0	0	1	0	0	0	1
GC_00006736	0	0	0	0	1	1	0
GC_00006737	0	0	0	0	1	1	0
GC_00006738	0	0	1	0	0	0	1
GC_00006739	1	0	1	0	0	0	0
GC_00006740	0	1	0	0	0	0	1
GC_00006741	0	1	0	1	0	0	0
GC_00006742	0	0	0	0	1	1	0
GC_00006743	0	0	0	0	1	1	0
GC_00006744	1	0	0	1	0	0	0
GC_00006745	1	1	0	0	0	0	0
GC_00006746	0	0	0	0	1	1	0
GC_00006747	0	0	0	0	1	1	0
GC_00006748	0	0	0	0	1	1	0
GC_00006749	0	1	0	1	0	0	0
GC_00006750	1	1	0	0	0	0	0
GC_00006751	0	0	0	0	1	1	0
GC_00006752	0	0	0	0	1	1	0
GC_00006753	0	0	0	0	1	1	0
GC_00006754	0	2	0	0	0	0	0
GC_00006755	1	0	1	0	0	0	0
GC_00006756	0	1	0	0	0	0	1
GC_00006757	0	0	0	0	1	1	0
GC_00006758	0	0	0	0	1	1	0
GC_00006759	0	0	0	0	1	1	0
GC_00006760	0	0	0	0	1	1	0
GC_00006761	1	1	0	0	0	0	0
GC_00006762	0	0	0	0	1	1	0
GC_00006763	1	0	1	0	0	0	0
GC_00006764	0	0	0	0	1	1	0
GC_00006765	0	0	1	0	0	0	1
GC_00006766	1	0	1	0	0	0	0
GC_00006767	0	0	1	0	0	0	1
GC_00006768	0	0	0	0	1	1	0
GC_00006769	0	0	0	0	1	1	0
GC_00006770	0	0	0	0	1	1	0
GC_00006771	0	0	0	0	1	1	0
GC_00006772	0	0	0	0	1	1	0
GC_00006773	0	0	0	0	1	1	0
GC_00006774	1	1	0	0	0	0	0
GC_00006775	0	1	0	0	0	0	1
GC_00006776	0	0	0	0	1	1	0
GC_00006777	0	0	0	0	1	1	0
GC_00006778	0	0	0	0	1	1	0
GC_00006779	0	0	0	0	1	1	0
GC_00006780	1	0	1	0	0	0	0
GC_00006781	0	0	0	0	1	1	0
GC_00006782	0	0	0	0	1	1	0
GC_00006783	0	1	0	1	0	0	0
GC_00006784	0	0	0	0	1	1	0
GC_00006785	0	0	0	0	1	1	0
GC_00006786	0	0	0	0	1	1	0
GC_00006787	0	0	0	0	1	1	0
GC_00006788	0	0	0	0	1	1	0
GC_00006789	0	0	0	0	1	1	0
GC_00006790	1	0	0	0	0	0	1
GC_00006791	0	0	0	0	1	1	0
GC_00006792	0	0	0	0	1	1	0
GC_00006793	0	0	0	0	1	1	0
GC_00006794	0	0	0	0	1	1	0
GC_00006795	0	1	0	0	0	0	1
GC_00006796	0	0	0	0	1	1	0
GC_00006797	0	0	0	0	1	1	0
GC_00006798	0	0	0	0	1	1	0
GC_00006799	1	0	1	0	0	0	0
GC_00006800	0	0	2	0	0	0	0
GC_00006801	0	0	0	0	1	1	0
GC_00006802	1	0	0	0	0	0	1
GC_00006803	0	1	0	1	0	0	0
GC_00006804	0	1	0	1	0	0	0
GC_00006805	0	0	0	0	1	1	0
GC_00006806	0	0	0	0	1	1	0
GC_00006807	0	1	0	1	0	0	0
GC_00006808	0	0	1	0	0	0	1
GC_00006809	0	0	0	0	1	1	0
GC_00006810	0	0	0	0	1	1	0
GC_00006811	1	0	1	0	0	0	0
GC_00006812	0	0	0	0	1	1	0
GC_00006813	1	1	0	0	0	0	0
GC_00006814	0	0	0	0	1	1	0
GC_00006815	0	0	0	2	0	0	0
GC_00006816	0	0	0	0	1	1	0
GC_00006817	1	0	1	0	0	0	0
GC_00006818	1	0	1	0	0	0	0
GC_00006819	0	1	0	1	0	0	0
GC_00006820	0	0	0	0	1	1	0
GC_00006821	0	0	1	0	0	1	0
GC_00006822	0	1	1	0	0	0	0
GC_00006823	0	0	0	0	1	1	0
GC_00006824	0	0	0	0	1	1	0
GC_00006825	1	0	1	0	0	0	0
GC_00006826	0	1	0	1	0	0	0
GC_00006827	0	0	0	0	1	1	0
GC_00006828	1	1	0	0	0	0	0
GC_00006829	1	0	0	0	0	0	1
GC_00006830	0	0	0	0	0	1	1
GC_00006831	0	0	0	0	1	1	0
GC_00006832	0	1	1	0	0	0	0
GC_00006833	0	0	0	0	1	1	0
GC_00006834	0	1	0	1	0	0	0
GC_00006835	0	2	0	0	0	0	0
GC_00006836	0	0	0	0	1	1	0
GC_00006837	0	0	0	0	1	1	0
GC_00006838	0	0	0	0	1	1	0
GC_00006839	0	0	0	0	1	0	1
GC_00006840	0	0	0	0	1	1	0
GC_00006841	1	0	0	0	0	0	1
GC_00006842	1	0	1	0	0	0	0
GC_00006843	0	0	0	0	1	1	0
GC_00006844	1	0	0	0	0	0	1
GC_00006845	0	0	1	0	0	0	1
GC_00006846	0	0	0	0	1	1	0
GC_00006847	0	0	0	0	1	1	0
GC_00006848	0	0	0	0	1	1	0
GC_00006849	0	0	0	0	1	1	0
GC_00006850	1	0	1	0	0	0	0
GC_00006851	1	0	1	0	0	0	0
GC_00006852	1	0	1	0	0	0	0
GC_00006853	0	0	0	1	0	0	1
GC_00006854	0	0	0	0	1	1	0
GC_00006855	0	0	0	0	1	1	0
GC_00006856	1	1	0	0	0	0	0
GC_00006857	0	0	0	0	1	1	0
GC_00006858	0	0	0	0	1	1	0
GC_00006859	0	0	0	0	1	1	0
GC_00006860	0	0	0	0	1	1	0
GC_00006861	0	0	0	0	1	1	0
GC_00006862	0	1	0	1	0	0	0
GC_00006863	2	0	0	0	0	0	0
GC_00006864	1	0	1	0	0	0	0
GC_00006865	1	1	0	0	0	0	0
GC_00006866	0	1	0	0	0	0	1
GC_00006867	0	0	0	0	1	1	0
GC_00006868	0	0	0	0	1	1	0
GC_00006869	1	0	1	0	0	0	0
GC_00006870	1	0	1	0	0	0	0
GC_00006871	0	0	0	0	1	1	0
GC_00006872	1	0	0	1	0	0	0
GC_00006873	0	0	0	0	1	1	0
GC_00006874	0	0	0	0	1	1	0
GC_00006875	0	0	0	0	1	1	0
GC_00006876	0	0	1	0	1	0	0
GC_00006877	0	0	0	0	0	0	2
GC_00006878	1	1	0	0	0	0	0
GC_00006879	0	0	0	0	0	0	2
GC_00006880	1	0	1	0	0	0	0
GC_00006881	1	0	0	0	0	0	1
GC_00006882	0	1	0	1	0	0	0
GC_00006883	0	0	0	0	1	1	0
GC_00006884	0	0	0	0	1	1	0
GC_00006885	0	1	0	1	0	0	0
GC_00006886	0	0	0	0	1	1	0
GC_00006887	1	1	0	0	0	0	0
GC_00006888	0	1	0	1	0	0	0
GC_00006889	0	0	1	0	0	0	1
GC_00006890	0	0	0	0	1	1	0
GC_00006891	0	1	0	1	0	0	0
GC_00006892	0	1	0	1	0	0	0
GC_00006893	0	1	0	1	0	0	0
GC_00006894	0	0	0	0	1	1	0
GC_00006895	1	0	1	0	0	0	0
GC_00006896	0	0	1	1	0	0	0
GC_00006897	0	0	0	0	1	1	0
GC_00006898	1	0	1	0	0	0	0
GC_00006899	0	0	0	0	1	1	0
GC_00006900	0	0	0	0	1	1	0
GC_00006901	0	1	1	0	0	0	0
GC_00006902	0	1	0	1	0	0	0
GC_00006903	0	1	0	1	0	0	0
GC_00006904	1	1	0	0	0	0	0
GC_00006905	0	0	0	0	1	1	0
GC_00006906	1	1	0	0	0	0	0
GC_00006907	0	0	0	0	1	1	0
GC_00006908	0	0	0	0	1	1	0
GC_00006909	0	0	0	0	1	1	0
GC_00006910	0	0	0	0	1	1	0
GC_00006911	0	0	0	0	1	1	0
GC_00006912	1	1	0	0	0	0	0
GC_00006913	0	2	0	0	0	0	0
GC_00006914	1	1	0	0	0	0	0
GC_00006915	0	0	0	0	1	1	0
GC_00006916	0	0	0	0	1	1	0
GC_00006917	1	0	1	0	0	0	0
GC_00006918	0	0	0	0	1	1	0
GC_00006919	0	0	0	0	1	1	0
GC_00006920	0	0	0	0	1	1	0
GC_00006921	1	0	1	0	0	0	0
GC_00006922	1	0	1	0	0	0	0
GC_00006923	0	0	0	0	1	1	0
GC_00006924	0	0	0	0	1	1	0
GC_00006925	0	0	0	0	1	1	0
GC_00006926	0	0	0	0	1	1	0
GC_00006927	0	0	0	0	1	1	0
GC_00006928	1	0	1	0	0	0	0
GC_00006929	0	0	0	0	1	1	0
GC_00006930	0	0	1	0	0	0	1
GC_00006931	1	0	0	0	0	0	1
GC_00006932	0	0	0	0	1	1	0
GC_00006933	0	0	0	0	1	1	0
GC_00006934	1	0	0	0	0	0	1
GC_00006935	1	1	0	0	0	0	0
GC_00006936	1	0	1	0	0	0	0
GC_00006937	0	0	0	0	1	1	0
GC_00006938	0	0	1	0	0	0	1
GC_00006939	1	0	0	0	1	0	0
GC_00006940	0	1	0	0	0	0	1
GC_00006941	0	0	0	0	1	1	0
GC_00006942	0	0	0	0	1	1	0
GC_00006943	1	0	0	0	0	0	1
GC_00006944	1	0	0	0	0	0	1
GC_00006945	0	0	0	0	1	1	0
GC_00006946	0	0	0	0	1	1	0
GC_00006947	1	0	1	0	0	0	0
GC_00006948	0	0	2	0	0	0	0
GC_00006949	0	0	1	0	0	0	1
GC_00006950	0	0	0	0	1	1	0
GC_00006951	0	0	0	0	1	1	0
GC_00006952	0	0	0	0	1	1	0
GC_00006953	1	0	1	0	0	0	0
GC_00006954	0	0	0	0	1	1	0
GC_00006955	1	0	1	0	0	0	0
GC_00006956	0	0	1	0	1	0	0
GC_00006957	0	0	0	0	1	1	0
GC_00006958	0	1	0	0	0	0	1
GC_00006959	0	0	0	0	1	1	0
GC_00006960	0	0	0	0	1	1	0
GC_00006961	0	0	2	0	0	0	0
GC_00006962	0	0	0	0	1	1	0
GC_00006963	0	0	0	0	1	1	0
GC_00006964	0	1	0	1	0	0	0
GC_00006965	0	0	0	0	1	1	0
GC_00006966	0	1	0	1	0	0	0
GC_00006967	0	1	0	1	0	0	0
GC_00006968	0	0	0	0	1	1	0
GC_00006969	0	0	0	0	1	1	0
GC_00006970	1	0	1	0	0	0	0
GC_00006971	0	0	1	0	0	0	1
GC_00006972	0	0	0	0	1	1	0
GC_00006973	0	0	0	0	1	1	0
GC_00006974	0	0	0	0	1	1	0
GC_00006975	1	1	0	0	0	0	0
GC_00006976	1	1	0	0	0	0	0
GC_00006977	0	0	0	0	1	1	0
GC_00006978	1	0	0	0	0	0	1
GC_00006979	0	0	0	0	1	1	0
GC_00006980	0	0	0	0	1	1	0
GC_00006981	0	0	2	0	0	0	0
GC_00006982	0	0	0	0	1	1	0
GC_00006983	0	0	0	0	1	1	0
GC_00006984	0	1	0	1	0	0	0
GC_00006985	1	0	0	0	0	0	1
GC_00006986	0	0	1	0	0	0	1
GC_00006987	0	0	0	1	1	0	0
GC_00006988	1	1	0	0	0	0	0
GC_00006989	0	1	0	0	0	0	1
GC_00006990	0	0	0	0	1	1	0
GC_00006991	0	0	0	0	1	1	0
GC_00006992	0	0	1	1	0	0	0
GC_00006993	1	0	1	0	0	0	0
GC_00006994	0	0	0	0	1	1	0
GC_00006995	0	0	0	0	1	1	0
GC_00006996	0	0	0	0	1	1	0
GC_00006997	0	0	0	0	1	1	0
GC_00006998	2	0	0	0	0	0	0
GC_00006999	0	0	0	0	0	0	2
GC_00007000	0	0	0	0	1	1	0
GC_00007001	0	0	0	2	0	0	0
GC_00007002	0	1	0	0	0	0	1
GC_00007003	0	0	0	0	1	1	0
GC_00007004	0	0	0	0	1	1	0
GC_00007005	0	0	0	0	1	1	0
GC_00007006	1	1	0	0	0	0	0
GC_00007007	0	0	0	0	1	1	0
GC_00007008	1	1	0	0	0	0	0
GC_00007009	0	1	0	0	0	0	1
GC_00007010	0	0	0	0	1	1	0
GC_00007011	0	0	0	0	1	1	0
GC_00007012	0	1	0	0	0	0	1
GC_00007013	0	0	0	0	1	1	0
GC_00007014	0	0	0	0	1	1	0
GC_00007015	0	0	0	0	1	1	0
GC_00007016	1	0	0	0	0	0	1
GC_00007017	0	0	0	0	1	1	0
GC_00007018	1	0	1	0	0	0	0
GC_00007019	0	0	0	0	1	1	0
GC_00007020	0	1	1	0	0	0	0
GC_00007021	0	0	0	0	1	1	0
GC_00007022	0	0	0	1	0	0	1
GC_00007023	0	0	0	0	1	1	0
GC_00007024	0	0	0	0	1	1	0
GC_00007025	0	1	0	0	0	0	1
GC_00007026	0	0	1	0	0	0	1
GC_00007027	0	2	0	0	0	0	0
GC_00007028	0	0	0	0	1	1	0
GC_00007029	1	0	0	0	0	0	1
GC_00007030	0	1	0	1	0	0	0
GC_00007031	0	0	1	0	0	0	1
GC_00007032	0	1	1	0	0	0	0
GC_00007033	1	0	0	0	0	0	1
GC_00007034	0	0	0	0	1	1	0
GC_00007035	0	1	0	1	0	0	0
GC_00007036	0	1	0	1	0	0	0
GC_00007037	0	1	0	0	0	0	1
GC_00007038	0	0	0	0	1	1	0
GC_00007039	1	0	0	0	0	0	1
GC_00007040	0	0	0	0	1	1	0
GC_00007041	0	1	0	0	0	0	1
GC_00007042	0	0	0	0	1	1	0
GC_00007043	0	0	0	0	1	1	0
GC_00007044	0	0	0	0	1	1	0
GC_00007045	0	0	0	0	1	1	0
GC_00007046	0	0	0	0	1	1	0
